Year,Australian_City,Foreign_City,Direction,Metric,Value
2024,Perth,Auckland,Outbound,Passengers,8373
2024,Perth,Bangkok,Outbound,Passengers,3941
2024,Perth,Denpasar,Outbound,Passengers,43635
2024,Perth,Doha,Outbound,Passengers,14372
2024,Perth,Dubai,Outbound,Passengers,14417
2024,Perth,Ho Chi Minh City,Outbound,Passengers,2741
2024,Perth,Hong Kong,Outbound,Passengers,6666
2024,Perth,Jakarta,Outbound,Passengers,2756
2024,Perth,Johannesburg,Outbound,Passengers,2377
2024,Perth,Kuala Lumpur,Outbound,Passengers,21198
2024,Perth,London,Outbound,Passengers,5319
2024,Perth,Manila,Outbound,Passengers,1433
2024,Perth,Mauritius,Outbound,Passengers,2205
2024,Perth,Paris,Outbound,Passengers,0
2024,Perth,Phuket,Outbound,Passengers,0
2024,Perth,Singapore,Outbound,Passengers,57176
2024,Perth,Tokyo,Outbound,Passengers,0
2024,Sunshine Coast,Auckland,Outbound,Passengers,0
2024,Sydney,Abu Dhabi,Outbound,Passengers,9687
2024,Sydney,Auckland,Outbound,Passengers,45566
2024,Sydney,Bangalore,Outbound,Passengers,4833
2024,Sydney,Bangkok,Outbound,Passengers,18325
2024,Sydney,Beijing,Outbound,Passengers,4425
2024,Sydney,Chengdu,Outbound,Passengers,3559
2024,Sydney,Chicago,Outbound,Passengers,0
2024,Sydney,Chongqing,Outbound,Passengers,528
2024,Sydney,Christchurch,Outbound,Passengers,12679
2024,Sydney,Colombo,Outbound,Passengers,2512
2024,Sydney,Dallas,Outbound,Passengers,6203
2024,Sydney,Denpasar,Outbound,Passengers,36716
2024,Sydney,Doha,Outbound,Passengers,15419
2024,Sydney,Dubai,Outbound,Passengers,39256
2024,Sydney,Gaborone,Outbound,Passengers,0
2024,Sydney,Guangzhou,Outbound,Passengers,16769
2024,Sydney,Haikou,Outbound,Passengers,3495
2024,Sydney,Hangzhou,Outbound,Passengers,984
2024,Sydney,Hanoi,Outbound,Passengers,2701
2024,Sydney,Ho Chi Minh City,Outbound,Passengers,14139
2024,Sydney,Hong Kong,Outbound,Passengers,28926
2024,Sydney,Honolulu,Outbound,Passengers,11542
2024,Sydney,Istanbul,Outbound,Passengers,0
2024,Sydney,Jakarta,Outbound,Passengers,10246
2024,Sydney,Jinan,Outbound,Passengers,738
2024,Sydney,Johannesburg,Outbound,Passengers,5151
2024,Sydney,Kuala Lumpur,Outbound,Passengers,17448
2024,Sydney,London,Outbound,Passengers,11364
2024,Sydney,Los Angeles,Outbound,Passengers,28225
2024,Sydney,Louisville,Outbound,Passengers,0
2024,Sydney,Manila,Outbound,Passengers,16627
2024,Sydney,Nadi,Outbound,Passengers,24207
2024,Sydney,Nanjing,Outbound,Passengers,1772
2024,Sydney,New Delhi,Outbound,Passengers,6284
2024,Sydney,New York,Outbound,Passengers,1395
2024,Sydney,Noumea,Outbound,Passengers,1465
2024,Sydney,Osaka,Outbound,Passengers,3433
2024,Sydney,Paris,Outbound,Passengers,0
2024,Sydney,Phuket,Outbound,Passengers,4117
2024,Sydney,Port Moresby,Outbound,Passengers,943
2024,Sydney,Port Vila,Outbound,Passengers,509
2024,Sydney,Qingdao,Outbound,Passengers,1009
2024,Sydney,Queenstown,Outbound,Passengers,10214
2024,Sydney,Rarotonga,Outbound,Passengers,2936
2024,Sydney,San Francisco,Outbound,Passengers,8319
2024,Sydney,Santiago,Outbound,Passengers,6451
2024,Sydney,Seoul,Outbound,Passengers,28476
2024,Sydney,Shanghai,Outbound,Passengers,15366
2024,Sydney,Shenzhen,Outbound,Passengers,2759
2024,Sydney,Singapore,Outbound,Passengers,65485
2024,Sydney,Taipei,Outbound,Passengers,4790
2024,Sydney,Taiyuan,Outbound,Passengers,17
2024,Sydney,Tianjin,Outbound,Passengers,168
2024,Sydney,Tokyo,Outbound,Passengers,30189
2024,Sydney,Tongatapu,Outbound,Passengers,558
2024,Sydney,Toronto,Outbound,Passengers,1207
2024,Sydney,Vancouver,Outbound,Passengers,9539
2024,Sydney,Wellington,Outbound,Passengers,8818
