Foreign_City,Australian_City,Pax_2024_In,Pax_2024_Out,Pax_2025_In,Pax_2025_Out,Freight_2024_In_t,Freight_2024_Out_t,Freight_2025_In_t,Freight_2025_Out_t,Is_Total_Row
Doha,Australia,48328.0,68597.0,49889.0,69792.0,1859.3,1836.5,1440.0,1470.7,True
Dubai,Australia,69733.0,105310.0,83951.0,117191.0,2308.8,2746.2,2848.3,3408.5,True
Espiritu Santo,Australia,100.0,114.0,272.0,474.0,0.0,0.0,0.0,2.7,True
Gaborone,Australia,0.0,0.0,0.0,0.0,0.0,67.5,0.0,0.0,True
Guangzhou,Australia,29518.0,32691.0,31680.0,33841.0,1677.4,1795.1,2952.8,1162.3,True
Haikou,Australia,4975.0,6817.0,5607.0,6955.0,341.9,127.6,492.9,62.8,True
Hangzhou,Australia,1080.0,984.0,3844.0,3731.0,41.8,3.5,275.1,10.2,True
Hanoi,Australia,3814.0,5146.0,8285.0,8549.0,193.9,143.3,428.5,109.2,True
Ho Chi Minh City,Australia,39052.0,37954.0,43683.0,39618.0,1435.8,313.3,1347.1,252.6,True
Hong Kong,Australia,54874.0,63583.0,82312.0,86591.0,6212.1,3612.8,6190.5,3251.7,True
Honiara,Australia,1971.0,1640.0,2275.0,1883.0,5.9,16.3,2.3,51.2,True
Honolulu,Australia,16110.0,13817.0,15449.0,13431.0,2071.3,454.9,2032.1,295.7,True
Istanbul,Australia,1155.0,2900.0,3789.0,6797.0,139.3,177.4,294.8,273.9,True
Jakarta,Australia,14147.0,15146.0,14118.0,13168.0,431.0,719.8,322.7,203.4,True
Jinan,Australia,1271.0,738.0,935.0,851.0,139.2,2.6,109.3,0.3,True
Johannesburg,Australia,7022.0,7528.0,10263.0,10185.0,78.2,62.4,116.1,139.8,True
Kuala Lumpur,Australia,67355.0,62186.0,66338.0,59339.0,2664.1,1521.1,2559.2,1040.0,True
London,Australia,14842.0,17923.0,13953.0,17454.0,386.6,49.2,372.2,28.4,True
Los Angeles,Australia,44750.0,43334.0,45607.0,40954.0,1290.2,1864.0,1553.3,1166.9,True
Louisville,Australia,0.0,0.0,0.0,0.0,1219.1,0.0,1215.8,0.0,True
Manila,Australia,30979.0,28639.0,40705.0,35210.0,786.0,761.9,1125.0,639.8,True
Mauritius,Australia,1849.0,2205.0,1788.0,1883.0,30.9,60.2,16.4,39.9,True
Munda,Australia,0.0,70.0,0.0,135.0,0.0,0.0,0.0,0.2,True
Nadi,Australia,48051.0,48529.0,52036.0,51286.0,366.9,484.6,451.2,489.9,True
Nanjing,Australia,1801.0,1772.0,3600.0,2972.0,212.9,2.3,340.7,21.5,True
Nauru,Australia,675.0,587.0,890.0,872.0,11.5,74.7,18.4,71.4,True
New Delhi,Australia,16756.0,14277.0,16567.0,15661.0,220.5,401.1,455.7,408.1,True
New York,Australia,1311.0,1395.0,1481.0,1470.0,263.7,6.8,129.5,6.0,True
Noumea,Australia,3008.0,2875.0,4995.0,4557.0,0.5,25.9,3.9,45.7,True
Osaka,Australia,11016.0,11674.0,14398.0,14213.0,143.4,12.8,261.3,24.3,True
Palau,Australia,18.0,31.0,214.0,229.0,0.1,2.2,0.0,0.0,True
Paris,Australia,0.0,0.0,1858.0,2600.0,0.0,0.0,42.6,0.3,True
Phuket,Australia,8108.0,8098.0,13957.0,13265.0,162.2,0.4,253.0,0.5,True
Port Moresby,Australia,9230.0,8303.0,9199.0,8294.0,157.1,261.9,150.3,222.7,True
Port Vila,Australia,3940.0,3914.0,6640.0,6669.0,0.9,1.9,4.2,10.9,True
Qingdao,Australia,1784.0,1827.0,3078.0,3453.0,193.2,35.5,242.1,28.7,True
Queenstown,Australia,22386.0,20009.0,24640.0,21963.0,0.0,0.3,0.0,0.5,True
Rarotonga,Australia,2786.0,2936.0,3312.0,3407.0,0.0,0.0,0.0,0.1,True
San Francisco,Australia,16142.0,16817.0,17939.0,17629.0,642.3,875.3,409.7,466.3,True
Santiago,Australia,9733.0,9566.0,11554.0,11091.0,414.0,359.9,158.8,432.2,True
Seoul,Australia,35317.0,35207.0,32781.0,33320.0,1069.6,512.7,1219.5,372.2,True
Shanghai,Australia,26006.0,28376.0,32724.0,33413.0,1772.5,1065.9,1971.6,1108.3,True
Shenzhen,Australia,2654.0,2759.0,3532.0,3503.0,346.8,176.5,376.0,100.3,True
Singapore,Australia,235791.0,243214.0,254437.0,256434.0,10575.4,8599.4,10357.4,8784.8,True
Taipei,Australia,12989.0,14918.0,15828.0,16671.0,709.6,571.6,700.5,602.8,True
Taiyuan,Australia,49.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Tianjin,Australia,192.0,168.0,125.0,203.0,0.0,14.0,0.0,0.0,True
Tokyo,Australia,58623.0,61822.0,65003.0,63687.0,1822.1,581.8,2233.1,918.2,True
Tongatapu,Australia,483.0,558.0,721.0,985.0,0.0,0.2,0.0,0.4,True
Toronto,Australia,1368.0,1207.0,1123.0,1347.0,76.6,172.0,13.3,0.0,True
Vancouver,Australia,13742.0,16503.0,13858.0,15297.0,334.1,366.9,305.2,461.7,True
Wellington,Australia,26838.0,23920.0,27029.0,24877.0,26.2,12.0,16.1,9.5,True
Wuhan,Australia,1548.0,1343.0,1682.0,1265.0,98.0,1.8,69.6,3.1,True
Xiamen,Australia,11836.0,12024.0,12354.0,12574.0,656.8,212.0,728.7,307.4,True
Xi'an,Australia,424.0,391.0,939.0,688.0,29.0,6.4,29.9,156.1,True
Zhengzhou,Australia,1184.0,986.0,956.0,942.0,61.9,14.3,38.7,3.6,True
